epoch,train_loss,train_map50,train_map50_95,val_loss,val_map50,val_map50_95,lr,epoch_time
1,8.25158,0.00000,0.00000,5.46738,0.00000,0.00000,0.0001,38.90653
2,5.62649,0.00000,0.00000,4.97253,0.00000,0.00000,0.0001,36.44181
3,5.05698,0.00000,0.00000,4.79629,0.00000,0.00000,0.0001,36.62213
4,4.77187,0.00000,0.00000,4.66537,0.00000,0.00000,0.0001,36.45593
5,4.58712,0.02552,0.00725,4.54642,0.03148,0.00980,0.0001,87.86636
6,4.39673,0.02552,0.00725,4.50231,0.03148,0.00980,0.0001,36.46083
7,4.32435,0.02552,0.00725,4.46360,0.03148,0.00980,0.0001,36.60422
8,4.24505,0.02552,0.00725,4.41024,0.03148,0.00980,0.0001,36.71438
9,4.13047,0.02552,0.00725,4.36836,0.03148,0.00980,0.0001,36.68043
10,4.01155,0.06521,0.02059,4.34856,0.06547,0.02345,0.0001,95.17693
11,3.92506,0.06521,0.02059,4.31755,0.06547,0.02345,0.0001,36.56291
12,3.85072,0.06521,0.02059,4.29672,0.06547,0.02345,0.0001,36.59250
13,3.81289,0.06521,0.02059,4.25597,0.06547,0.02345,0.0001,36.77658
14,3.73713,0.06521,0.02059,4.25457,0.06547,0.02345,0.0001,36.69473
15,3.63283,0.10218,0.03451,4.24006,0.07600,0.02572,0.0001,105.45852
16,3.57161,0.10218,0.03451,4.23777,0.07600,0.02572,0.0001,36.49616
17,3.52772,0.10218,0.03451,4.20600,0.07600,0.02572,0.0001,36.64276
18,3.48502,0.10218,0.03451,4.20054,0.07600,0.02572,0.0001,36.65652
19,3.39448,0.10218,0.03451,4.20394,0.07600,0.02572,0.0001,36.67624
20,3.38788,0.13708,0.04855,4.20021,0.09030,0.03044,0.0001,104.49515
21,3.30757,0.13708,0.04855,4.17821,0.09030,0.03044,0.0001,36.57725
22,3.23511,0.13708,0.04855,4.17026,0.09030,0.03044,0.0001,36.67813
23,3.22109,0.13708,0.04855,4.16018,0.09030,0.03044,0.0001,36.69345
24,3.21279,0.13708,0.04855,4.15327,0.09030,0.03044,0.0001,36.73511
25,3.15003,0.16926,0.06034,4.13608,0.09947,0.03369,0.0001,106.69024
26,3.12127,0.16926,0.06034,4.12424,0.09947,0.03369,0.0001,36.61587
27,3.04562,0.16926,0.06034,4.15706,0.09947,0.03369,0.0001,36.74711
28,3.00962,0.16926,0.06034,4.11942,0.09947,0.03369,0.0001,36.58683
29,2.98707,0.16926,0.06034,4.12031,0.09947,0.03369,0.0001,36.62584
30,2.87307,0.21248,0.07877,4.07218,0.11145,0.03940,1e-05,110.47768
31,2.85686,0.21248,0.07877,4.06832,0.11145,0.03940,1e-05,36.55883
32,2.82763,0.21248,0.07877,4.06657,0.11145,0.03940,1e-05,36.78666
33,2.81774,0.21248,0.07877,4.06499,0.11145,0.03940,1e-05,36.62188
34,2.82555,0.21248,0.07877,4.07187,0.11145,0.03940,1e-05,36.74443
35,2.80024,0.23448,0.09009,4.06678,0.11532,0.04030,1e-05,125.78477
36,2.78958,0.23448,0.09009,4.06565,0.11532,0.04030,1e-05,36.63110
37,2.76194,0.23448,0.09009,4.06018,0.11532,0.04030,1e-05,36.50929
38,2.75805,0.23448,0.09009,4.06491,0.11532,0.04030,1e-05,36.57463
39,2.76475,0.23448,0.09009,4.05860,0.11532,0.04030,1e-05,36.67386
40,2.75247,0.23371,0.08910,4.06227,0.11889,0.04127,1e-05,111.74994
41,2.76479,0.23371,0.08910,4.06586,0.11889,0.04127,1e-05,36.64539
42,2.76203,0.23371,0.08910,4.05983,0.11889,0.04127,1e-05,36.62657
43,2.72814,0.23371,0.08910,4.05753,0.11889,0.04127,1e-05,36.64361
44,2.72150,0.23371,0.08910,4.06154,0.11889,0.04127,1e-05,36.65189
45,2.72157,0.24899,0.09387,4.05674,0.11900,0.04180,1e-05,115.16420
46,2.71544,0.24899,0.09387,4.05822,0.11900,0.04180,1e-05,36.45806
47,2.72559,0.24899,0.09387,4.06311,0.11900,0.04180,1e-05,36.44095
